name,entry_id,band_gap,delta_e,stability
Tb,9301,0.0,0.0135588466666698,0.0135588466666698
FePd,22248,0.0,-0.0657903050000002,0.013730704999999552
TiTc,18156,0.0,-0.526867634393131,0.00012348500000103346
HfRu,17389,0.0,-0.8124774125,0.000525254999999003
VTc,18157,0.0,-0.365395792499999,5.125500000102701e-05
TbSb,8156,0.0,-0.822246604833335,4.354166666653558e-05
MgRh,17646,0.0,-0.476044259583335,0.0004300850000006906
CeMg,20463,0.0,-0.122780003333335,6.427500000022457e-05
PmMg,20464,0.0,-0.111143110833335,0.00010101499999999597
YCu,20721,0.0,-0.2439484175,0.01608169875000029
ErAu,10720,0.0,-0.88506276,0.01344919500000008
HfTc,17392,0.0,-0.482266285,0.0004249700000009682
TiOs,17904,0.0,-0.735973226893133,0.0002991049999999662
EuMg,20465,0.0,-0.099095619583335,0.000153864999999892
GdMg,20466,0.0,-0.0927260883333352,0.0
SmMg,17650,0.0,-0.104368048333335,4.425499999999305e-05
ZrOs,17906,0.0,-0.527704249999999,0.0007385349999999846
ZnRh,18674,0.0,-0.389183295,0.0006179550000010026
ErMg,20467,0.0,-0.0665710545833349,0.0
U,22309,0.0,0.375489635000001,0.375489635000001
Ne,12059,14.181,0.32978189,0.32978189
Sn,9297,0.0,0.08276532,0.08276532
GeC,22473,1.772,0.43360699875,0.43360699875
HoSb,8119,0.0,-1.11663587416666,5.6720000004784055e-05
ZnO,20684,0.0,-0.932217242939378,0.717588334999999
ScC,22262,0.0,0.389169148750001,0.8410965344476705
ScCu,29784,0.0,-0.2764692475,0.0023663099999999826
ErRh,30040,0.0,-0.935677225,0.0002876350000000638
HoHg,17397,0.0,-0.451316224149799,0.0018053199999999991
YC,22264,0.0,0.56832462375,0.8894485483333343
Ne,12057,14.099,0.3042069,0.3042069
Ne,12058,14.132,0.31393182,0.31393182
Se,10325,0.0,0.17154387,0.17154387
Ho,10105,0.0,0.0194839866666703,0.0194839866666703
SnP,14014,0.0,-0.169100282905569,0.024972844649469916
HoTe,8123,0.0,-1.24384526333333,0.04286808125000019
HgSe,4543,0.176,-0.182984242483134,0.0
CuO,11469,0.0,-0.673435953782877,0.15888038999999898
LaCd,29003,0.0,-0.33306865,0.0
CuN,20469,0.0,0.893523122328247,0.893523122328247
H,5497,0.0,1.18768125,1.18768125
HgS,4523,0.179,-0.248713479489813,0.0002717399999997705
SnC,22475,0.950000000000001,0.765138412824399,0.765138412824399
ScP,17907,0.0,-1.61907393197997,0.0
CdPd,29018,0.0,-0.418948665,0.0021893499999999233
AgCl,10182,1.115,-0.617803421559561,0.025170781250000274
Sb,9672,0.0,0.0,1.9464166666871563e-05
DyAl,10445,0.0,-0.395507823333335,0.02122244624999997
PbS,14034,0.0,-0.429746182006678,0.25504796000000096
HgPd,30534,0.0,-0.142740452483134,8.392000000018163e-05
NdCd,29013,0.0,-0.3266697025,0.0009254925000002356
GdAs,8162,0.0,-1.54240514625,5.2750000000045816e-05
SnC,22476,0.0,1.2495949928244,1.2495949928244
ZnTe,17353,1.453,-0.469457256666665,0.003525983750000017
NiC,22221,0.0,1.10668469625,1.1072564512500003
HfPt,17383,0.0,-0.982982147500001,0.16891751250000053
TbAs,8155,0.0,-1.21159822983334,0.0
