mp_id_core,formula_core,band_gap_eV_core,cbm_vs_vacuum_eV_core,vbm_vs_vacuum_eV_core,mp_id_shell,formula_shell,band_gap_eV_shell,cbm_vs_vacuum_eV_shell,vbm_vs_vacuum_eV_shell,dEc_eV,dEv_eV,is_type1_shell_confines_core,confinement_score_eV
mp-998603,RbPbBr3,2.8211,-0.7722250517042355,-3.593325051704236,mp-23390,RbCdCl3,3.5562,-0.3507857794254596,-3.90698577942546,0.4214392722787759,0.3136607277212238,True,0.7350999999999996
mp-556379,BaVOF4,2.7943,-1.3731324379547472,-4.167432437954747,mp-554451,BaFeF4,3.5261,-0.9610867019488912,-4.487186701948891,0.4120457360058559,0.3197542639941444,True,0.7318000000000003
mp-28569,NaInBr4,2.8149,-0.8347703982789165,-3.649670398278917,mp-1209271,RbInBr4,3.5439,-0.4237185596912707,-3.9676185596912714,0.4110518385876458,0.3179481614123545,True,0.7290000000000003
mp-22981,TlIO3,2.7816,-1.4198993664560626,-4.201499366456062,mp-29798,TlBrO3,3.5098000000000003,-1.1165179481316718,-4.626317948131672,0.3033814183243908,0.42481858167561004,True,0.7282000000000008
mp-754199,BaSrI4,2.8453,-0.4441882604486724,-3.2894882604486724,mp-756725,Ba2CaI6,3.5732,-0.0841155628119727,-3.6573155628119727,0.3600726976366997,0.3678273023633003,True,0.7279
mp-561350,AlBiSCl4,2.8305,-1.1999594015649762,-4.030459401564976,mp-699582,Na2AlFeF7,3.5553,-0.844605122641684,-4.399905122641684,0.3553542789232922,0.3694457210767075,True,0.7247999999999997
mp-1113451,Cs2ScAgBr6,2.8546035909975918,-0.5873967209252577,-3.442000311922849,mp-1112000,Cs2ScTlCl6,3.579203867091389,-0.2693350758309689,-3.8485389429223584,0.31806164509428886,0.4065386309995094,True,0.7246002760937982
mp-765761,Li3Co3OF7,2.8048,-1.0815058081573357,-3.886305808157336,mp-753329,Li3Ni3OF7,3.5293,-0.7276966609056001,-4.2569966609056,0.3538091472517355,0.37069085274826374,True,0.7244999999999993
mp-1113451,Cs2ScAgBr6,2.8546035909975918,-0.5873967209252577,-3.442000311922849,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.4007303551875476,0.32309776284147373,True,0.7238281180290214
mp-28297,Nd3S2Br5,2.8500037987402784,-0.7379220632277952,-3.5879258619680736,mp-755336,NdIO,3.5729,-0.3985342468933568,-3.971434246893357,0.3393878163344384,0.38350838492528316,True,0.7228962012597215
mp-998603,RbPbBr3,2.8211,-0.7722250517042355,-3.593325051704236,mp-1209271,RbInBr4,3.5439,-0.4237185596912707,-3.9676185596912714,0.3485064920129648,0.3742935079870353,True,0.7228000000000001
mp-554245,BaPb2IF5,2.8346000000000005,-1.4435083230968255,-4.278108323096826,mp-541031,BaCrF5,3.5561000000000003,-1.0579218920996851,-4.614021892099686,0.3855864309971404,0.3359135690028596,True,0.7215
mp-1195873,KVOF3,2.7904,-1.1773758354219908,-3.967775835421991,mp-28774,KSnF3,3.5114,-0.7628108604954518,-4.274210860495452,0.414564974926539,0.30643502507346065,True,0.7209999999999996
mp-22932,KInBr4,2.8234,-0.7839685596912707,-3.6073685596912703,mp-1209271,RbInBr4,3.5439,-0.4237185596912707,-3.9676185596912714,0.36024999999999996,0.36025000000000107,True,0.720500000000001
mp-765761,Li3Co3OF7,2.8048,-1.0815058081573357,-3.886305808157336,mp-777355,LiMnF3,3.5243,-0.7280911079741084,-4.252391107974109,0.3534147001832273,0.3660852998167732,True,0.7195000000000005
mp-556399,LaTiI5O16,2.8573,-1.5606973207196015,-4.417997320719602,mp-566599,La(IO3)3,3.5765,-1.1813448291830733,-4.757844829183073,0.3793524915365283,0.3398475084634711,True,0.7191999999999994
mp-998603,RbPbBr3,2.8211,-0.7722250517042355,-3.593325051704236,mp-2047197,RbSnCl3,3.5396,-0.4231373995752778,-3.962737399575278,0.3490876521289577,0.3694123478710418,True,0.7184999999999995
mp-1113451,Cs2ScAgBr6,2.8546035909975918,-0.5873967209252577,-3.442000311922849,mp-1111727,Rb2LaAgCl6,3.573000730854086,-0.2801643248948831,-3.853165055748969,0.30723239603037467,0.4111647438261201,True,0.7183971398564948
mp-851109,Sr9La5Br33,2.8755999999999995,-0.7053113216884803,-3.58091132168848,mp-696944,LaHBr2,3.5935,-0.3491016628804513,-3.942601662880452,0.356209658808029,0.3616903411919723,True,0.7179000000000013
mp-1105273,CsBi2Br7,2.8535,-0.9761582071805563,-3.829658207180557,mp-553025,CaBiClO2,3.5702,-0.5897220214850636,-4.159922021485063,0.38643618569549276,0.33026381430450646,True,0.7166999999999992
mp-2759442,Cs2HgBr4,2.8128,-0.5125534148344797,-3.32535341483448,mp-1112789,Cs2KBiBr6,3.5292000000000003,-0.1594527170192308,-3.688652717019231,0.3531006978152489,0.36329930218475104,True,0.7163999999999999
mp-989583,Rb2LiInCl6,2.8293,-0.6118174291924552,-3.441117429192455,mp-989529,KRb2InCl6,3.5425000000000004,-0.2194160303774524,-3.761916030377453,0.3924013988150028,0.3207986011849977,True,0.7132000000000005
mp-754199,BaSrI4,2.8453,-0.4441882604486724,-3.2894882604486724,mp-771642,Sr2CaI6,3.5577999999999994,-0.1191345536780328,-3.676934553678033,0.3250537067706396,0.3874462932293605,True,0.7125000000000001
mp-1224276,K2VOF4,2.7902014194948133,-0.9598848854076952,-3.750086304902508,mp-1111658,K2LiTlF6,3.5027,-0.5541584735605745,-4.056858473560574,0.40572641184712077,0.3067721686580658,True,0.7124985805051866
mp-1206105,CaInI3,2.784509231480061,-0.626172084219808,-3.4106813156998688,mp-1112628,Cs2YInCl6,3.496012824389749,-0.307958275418287,-3.803971099808036,0.31821380880152095,0.39328978410816706,True,0.711503592909688
mp-556300,Fe3B7ClO13,2.8149000000000006,-1.3125650262022104,-4.127465026202211,mp-554451,BaFeF4,3.5261,-0.9610867019488912,-4.487186701948891,0.35147832425331915,0.35972167574668035,True,0.7111999999999995
mp-1105176,RbBi2Br7,2.8615,-0.9811308920626682,-3.842630892062668,mp-553025,CaBiClO2,3.5702,-0.5897220214850636,-4.159922021485063,0.39140887057760465,0.31729112942239546,True,0.7087000000000001
mp-581324,Ba2VI5O17,2.8495,-1.421511333782064,-4.271011333782064,mp-541031,BaCrF5,3.5561000000000003,-1.0579218920996851,-4.614021892099686,0.36358944168237883,0.34301055831762195,True,0.7066000000000008
mp-1111998,K2ScAgBr6,2.835901910286677,-0.6118218000301487,-3.4477237103168257,mp-989529,KRb2InCl6,3.5425000000000004,-0.2194160303774524,-3.761916030377453,0.39240576965269636,0.31419232006062714,True,0.7065980897133235
mp-1111726,Rb2ScAgBr6,2.8738024836850906,-0.5928715133309419,-3.4666739970160325,mp-1112000,Cs2ScTlCl6,3.579203867091389,-0.2693350758309689,-3.8485389429223584,0.323536437499973,0.3818649459063259,True,0.7054013834062989
mp-1111673,K2LiGdCl6,2.8732,-0.511520211948489,-3.3847202119484887,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.32485384621077884,0.3803778628158341,True,0.7052317090266129
mp-997394,NbAgF6,2.8553,-1.8166571637258904,-4.6719571637258905,mp-29993,TaAgF6,3.556,-1.440239604402381,-4.996239604402382,0.3764175593235093,0.32428244067649103,True,0.7007000000000003
mp-28569,NaInBr4,2.8149,-0.8347703982789165,-3.649670398278917,mp-569635,Ba6Zn(InCl10)2,3.5151,-0.5275780396164296,-4.04267803961643,0.30719235866248695,0.39300764133751276,True,0.7001999999999997
mp-1220828,Nb4Pb3(O6F)2,2.7892,-1.4570482833528935,-4.246248283352894,mp-557103,B5Pb2ClO9,3.4890000000000003,-1.059252989790904,-4.548252989790904,0.3977952935619895,0.3020047064380105,True,0.6998
mp-1111726,Rb2ScAgBr6,2.8738024836850906,-0.5928715133309419,-3.4666739970160325,mp-1111727,Rb2LaAgCl6,3.573000730854086,-0.2801643248948831,-3.853165055748969,0.3127071884360588,0.38649105873293665,True,0.6991982471689955
mp-1113979,Rb2LiGdCl6,2.8472,-0.5245202119484889,-3.371720211948489,mp-989529,KRb2InCl6,3.5425000000000004,-0.2194160303774524,-3.761916030377453,0.30510418157103647,0.390195818428964,True,0.6953000000000005
mp-765761,Li3Co3OF7,2.8048,-1.0815058081573357,-3.886305808157336,mp-777444,Li3Fe2F7,3.4986,-0.7137893094178327,-4.212389309417833,0.36771649873950296,0.3260835012604968,True,0.6937999999999998
mp-628782,V3Pb5ClO12,2.7954,-1.4088814970204058,-4.204281497020405,mp-557103,B5Pb2ClO9,3.4890000000000003,-1.059252989790904,-4.548252989790904,0.3496285072295018,0.3439714927704989,True,0.6936000000000007
