mp_id,formula,band_gap_eV,is_direct_gap,cbm_vs_vacuum_eV,vbm_vs_vacuum_eV,offset_estimation_method,dielectric_electronic,dielectric_ionic,dielectric_total,refractive_index,energy_above_hull_eV_per_atom,is_stable
mp-1101811,ErH2ClO2,4.9248,False,-0.002760322957847894,-4.927560322957849,electronegativity_approx,,,,,0.036292912222214646,False
mp-1101836,GdH2ClO2,3.0368,False,-0.9333250397389203,-3.97012503973892,electronegativity_approx,,,,,0.040264623055557,False
mp-1101933,AgClO4,2.8481,False,-1.6561555117165951,-4.504255511716595,electronegativity_approx,,,,,0.04370557833333244,False
mp-1102060,TmH2ClO2,4.749749169475816,True,-0.0935880466149821,-4.843337216090799,electronegativity_approx,,,,,0.04486490916665975,False
mp-1102075,TbH2ClO2,4.798500000000001,True,-0.017176941080127683,-4.815676941080128,electronegativity_approx,,,,,0.04443798708332647,False
mp-1102246,LaSeCl,1.3360000000000003,True,-1.4015375755307318,-2.737537575530732,electronegativity_approx,,,,,0.1663538120833321,False
mp-1103189,LaTeCl,0.8821000000000003,True,-1.4987919823822105,-2.380891982382211,electronegativity_approx,,,,,0.13325862291665658,False
mp-1103281,NClO,1.6998000000000002,False,-2.359124525431481,-4.058924525431482,electronegativity_approx,,,,,0.1638139883333345,False
mp-1103556,ErWClO4,3.5712,False,-0.9980061771630475,-4.569206177163048,electronegativity_approx,,,,,0.12086013726191602,False
mp-1103683,TmWClO4,3.6441999999999997,False,-0.9647020679158445,-4.608902067915844,electronegativity_approx,,,,,0.12179304351191433,False
mp-1103690,LuWClO4,3.5490999999999997,False,-1.0185786501016338,-4.567678650101634,electronegativity_approx,,,,,0.12889051136905216,False
mp-1103766,DyWClO4,3.5828,False,-0.9857475549156163,-4.568547554915616,electronegativity_approx,,,,,0.10900219190476612,False
mp-1103778,HoWClO4,3.5845,False,-0.988138118126016,-4.572638118126016,electronegativity_approx,,,,,0.11419416958334416,False
mp-1103802,TbWClO4,3.5993000000000004,False,-0.9367216184600697,-4.536021618460071,electronegativity_approx,,,,,0.11130551172619896,False
mp-1105528,Pr5As2ClO10,3.2745,False,-0.7516540475414428,-4.026154047541443,electronegativity_approx,,,,,0.0,True
mp-1105941,Ba3InSe4Cl,2.4361,True,-0.5486375905637215,-2.9847375905637215,electronegativity_approx,,,,,0.24449945652777672,False
mp-1120728,GaSeCl,3.1471,True,-0.8697039673008273,-4.016803967300827,electronegativity_approx,,,,,0.12077111527777751,False
mp-1120754,Li2HClO,4.969200000000001,False,0.6129524440372993,-4.356247555962701,electronegativity_approx,,,,,0.11427438800000012,False
mp-1120767,NaCl,4.3847000000000005,True,0.47805714287202394,-3.9066428571279763,electronegativity_approx,,,,,0.05877064000000054,False
mp-1120780,AuCl,1.9497,True,-1.8582401856453497,-3.8079401856453496,electronegativity_approx,,,,,0.010198831250001206,False
mp-1178362,DyClO,4.349,False,-0.1925192249576031,-4.541519224957604,electronegativity_approx,,,,,0.08293212333333333,False
mp-1178561,AgClO3,2.7117,False,-1.6570446335750557,-4.368744633575056,electronegativity_approx,,,,,0.09281757449999795,False
mp-1179227,Sr5Cr3ClO12,1.1425,False,-1.7014366265456848,-2.843936626545685,electronegativity_approx,,,,,0.0,True
mp-1179937,PbClF,2.6066000000000003,True,-1.7797130182629348,-4.3863130182629355,electronegativity_approx,,,,,0.3454998304166681,False
mp-1180278,NaClO3,1.2022011009223301,False,-2.0024683290707737,-3.2046694299931042,electronegativity_approx,,,,,0.41308131024999906,False
mp-1180300,NClO3,1.9824000000000002,False,-2.3082929047405076,-4.290692904740508,electronegativity_approx,,,,,0.09692177300001958,False
mp-1180505,NaClO3,0.6226999999999999,False,-2.292218879531939,-2.914918879531939,electronegativity_approx,,,,,0.7019237682499995,False
mp-1181082,HgSNCl,0.6272000000000001,False,-2.33979918839651,-2.9669991883965103,electronegativity_approx,,,,,0.7521389839062493,False
mp-1181119,Hg2ClO,2.0221999999999998,False,-1.5567897817465535,-3.5789897817465532,electronegativity_approx,,,,,0.17906047499999955,False
mp-1181751,H3NCl,0.8704000000000001,False,-2.088081721703878,-2.958481721703878,electronegativity_approx,,,,,0.395401653583332,False
mp-1182326,Ca2B5ClO10,2.8906,True,-1.136108863853213,-4.026708863853213,electronegativity_approx,,,,,0.06972475241900611,False
mp-1182487,AuCClO,3.7403000000000004,False,-1.026558912503174,-4.766858912503174,electronegativity_approx,,,,,0.3258623693749989,False
mp-1184046,CuCl,0.5736000000000003,True,-2.163506103326684,-2.737106103326684,electronegativity_approx,,,,,0.003259485000000062,False
mp-1189041,AlC5NCl,0.606,False,-2.22490605734338,-2.83090605734338,electronegativity_approx,,,,,1.7250801960416684,False
mp-1189171,Zn2NCl,1.9700000000000002,False,-1.2764247380229075,-3.246424738022908,electronegativity_approx,,,,2.114095946261664,0.0,True
mp-1189989,C2NCl,1.5194,False,-2.0516198352636237,-3.5710198352636238,electronegativity_approx,,,,,1.7282288607031244,False
mp-1190824,CN4Cl,1.2285999999999997,True,-2.357048553187491,-3.5856485531874904,electronegativity_approx,,,,,0.9234224104687501,False
mp-1190863,C3NClO,2.4435,False,-1.6388465356635458,-4.082346535663546,electronegativity_approx,,,,,1.3775843342187493,False
mp-1191267,AgClO4,2.6793000000000005,True,-1.740555511716595,-4.419855511716595,electronegativity_approx,,,,,0.025500877083332263,False
mp-1191962,CdIClO3,3.3467000000000002,False,-1.2130407578420104,-4.559740757842011,electronegativity_approx,,,,,0.10681929854166672,False
mp-1192852,SNClO4,1.3811,False,-2.514047200256748,-3.895147200256748,electronegativity_approx,,,,,0.052641218333340234,False
mp-1193300,ReS2ClO9,2.396,False,-1.925702738725203,-4.321702738725203,electronegativity_approx,,,,,0.013148338974362517,False
mp-1194001,Pr4PClO8,4.4953,True,-0.1610319886920677,-4.656331988692068,electronegativity_approx,,,,,0.00919379142857224,False
mp-1194344,Nd4PClO8,4.4905,True,-0.16950305691218892,-4.660003056912188,electronegativity_approx,,,,,0.03465245708333242,False
mp-1194705,Sr2P7Cl,1.948,False,-0.9483139151678865,-2.8963139151678865,electronegativity_approx,,,,,0.0,True
mp-1195877,B10H13Cl,3.6163000000000003,False,-0.35612188105375897,-3.9724218810537595,electronegativity_approx,,,,,0.09810566281250921,False
mp-1196206,C9Cl,1.3653,True,-1.922632790202732,-3.287932790202732,electronegativity_approx,,,,,0.23598575115624953,False
mp-1196512,Ca5Cr3ClO12,0.9861,False,-1.8075624192477593,-2.7936624192477595,electronegativity_approx,,,,,0.03799345607142879,False
mp-1196585,MnC4ClO4,2.7439999999999998,False,-1.4220960237199387,-4.1660960237199385,electronegativity_approx,,,,,0.6015509553749929,False
mp-1196615,La4PClO8,4.295099999999999,False,-0.2426854160978711,-4.53778541609787,electronegativity_approx,,,,,0.01773056720238486,False
mp-1196803,C16Cl,1.3166999999999998,True,-1.9240256024712004,-3.2407256024712003,electronegativity_approx,,,,,0.332636473437498,False
mp-1196912,CuP4Se3Cl,1.6505,False,-1.5369425650752238,-3.187442565075224,electronegativity_approx,,,,,0.15537139037379877,False
mp-1197647,PrMoClO4,2.6517999999999997,True,-1.3864793876856667,-4.038279387685666,electronegativity_approx,,,,,0.1002453926190432,False
mp-1197810,Cs6Dy21S34Cl,1.9469,False,-0.8176929966347576,-2.7645929966347578,electronegativity_approx,,,,,0.0,True
mp-1198762,InSeClO3,3.3797999999999995,True,-1.201137769727696,-4.580937769727695,electronegativity_approx,,,,,0.048026836111127125,False
mp-1198976,Ba3GaS4Cl,3.6078,True,0.024703836311714023,-3.5830961636882863,electronegativity_approx,,,,,0.0,True
mp-1199026,Tb4BClO7,4.732537807067691,False,0.054696673974551135,-4.677841133093139,electronegativity_approx,,,,,0.0,True
mp-1199243,Cs6Ho21S34Cl,2.3245999999999998,False,-0.6338023463747708,-2.9584023463747706,electronegativity_approx,,,,,0.0,True
